timestamp,updateId,source,sequenceNumber
1756384601147,75447508684,bookTicker,789
1756384601148,75447508685,bookTicker,790
1756384601148,75447508686,bookTicker,791
1756384601148,75447508688,bookTicker,792
1756384601148,75447508692,bookTicker,793
1756384601149,75447508696,bookTicker,794
1756384601149,75447508699,bookTicker,795
1756384601150,75447508701,bookTicker,796
1756384601150,75447508705,bookTicker,797
1756384601151,75447508706,bookTicker,798
1756384601152,75447508707,bookTicker,799
1756384601152,75447508709,bookTicker,800
1756384601153,75447508710,bookTicker,801
1756384601153,75447508715,bookTicker,802
1756384601154,75447508720,bookTicker,803
1756384601155,75447508721,bookTicker,804
1756384601155,75447508722,bookTicker,805
1756384601155,75447508723,bookTicker,806
1756384601155,75447508724,bookTicker,807
1756384601156,75447508725,bookTicker,808
1756384601156,75447508726,bookTicker,809
1756384601156,75447508728,bookTicker,810
1756384601157,75447508729,bookTicker,811
1756384601157,75447508730,bookTicker,812
1756384601158,75447508736,bookTicker,813
1756384601159,75447508748,bookTicker,814
1756384601159,75447508749,bookTicker,815
1756384601159,75447508750,bookTicker,816
1756384601160,75447508752,bookTicker,817
1756384601160,75447508753,bookTicker,818
1756384601161,75447508766,bookTicker,819
1756384601161,75447508767,bookTicker,820
1756384601161,75447508768,bookTicker,821
1756384601162,75447508771,bookTicker,822
1756384601163,75447508803,bookTicker,823
1756384601166,75447508805,bookTicker,824
1756384601166,75447508806,bookTicker,825
1756384601167,75447508816,bookTicker,826
1756384601168,75447508817,bookTicker,827
1756384601168,75447508819,bookTicker,828
1756384601169,75447508823,bookTicker,829
1756384601169,75447508824,bookTicker,830
1756384601170,75447508826,bookTicker,831
1756384601170,75447508841,bookTicker,832
1756384601171,75447508843,bookTicker,833
1756384601171,75447508846,bookTicker,834
1756384601172,75447508848,bookTicker,835
1756384601172,75447508852,bookTicker,836
1756384601173,75447508855,bookTicker,837
1756384601173,75447508857,bookTicker,838
1756384601173,75447508864,bookTicker,839
1756384601174,75447508865,bookTicker,840
1756384601174,75447508866,bookTicker,841
1756384601174,75447508874,bookTicker,842
1756384601175,75447508877,bookTicker,843
1756384601175,75447508878,bookTicker,844
1756384601175,75447508879,bookTicker,845
1756384601176,75447508884,bookTicker,846
1756384601176,75447508889,bookTicker,847
1756384601176,75447508890,bookTicker,848
1756384601176,75447508892,bookTicker,849
1756384601177,75447508893,bookTicker,850
1756384601177,75447508894,bookTicker,851
1756384601177,75447508897,bookTicker,852
1756384601179,75447508900,bookTicker,853
1756384601180,75447508903,bookTicker,854
1756384601180,75447508904,bookTicker,855
1756384601181,75447508906,bookTicker,856
1756384601181,75447508909,bookTicker,857
1756384601181,75447508913,bookTicker,858
1756384601182,75447508919,bookTicker,859
1756384601183,75447508921,bookTicker,860
1756384601185,75447508924,bookTicker,861
1756384601187,75447508926,bookTicker,862
1756384601190,75447508929,bookTicker,863
1756384601193,75447508932,bookTicker,864
1756384601193,75447508937,bookTicker,865
1756384601194,75447508940,bookTicker,866
1756384601197,75447508946,bookTicker,867
1756384601197,75447508949,bookTicker,868
1756384601198,75447508950,bookTicker,869
1756384601199,75447508956,bookTicker,870
1756384601199,75447508972,bookTicker,871
1756384601200,75447508981,bookTicker,872
1756384601200,75447508986,bookTicker,873
1756384601201,75447508997,bookTicker,874
1756384601201,75447509018,bookTicker,875
1756384601202,75447509020,bookTicker,876
1756384601202,75447509021,bookTicker,877
1756384601202,75447509022,bookTicker,878
1756384601203,75447509030,bookTicker,879
1756384601203,75447509031,bookTicker,880
1756384601203,75447509035,bookTicker,881
1756384601204,75447509036,bookTicker,882
1756384601205,75447509047,bookTicker,883
1756384601206,75447509048,bookTicker,884
1756384601206,75447509052,bookTicker,885
1756384601206,75447509055,bookTicker,886
1756384601207,75447509056,bookTicker,887
1756384601207,75447509069,bookTicker,888
1756384601207,75447509070,bookTicker,889
1756384601208,75447509072,bookTicker,890
1756384601208,75447509073,bookTicker,891
1756384601209,75447509076,bookTicker,892
1756384601210,75447509078,bookTicker,893
1756384601210,75447509087,bookTicker,894
1756384601210,75447509088,bookTicker,895
1756384601210,75447509095,bookTicker,896
